,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
646,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,14.2,%,409,58,19.80%,10.10%,352
647,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically inactive,21.7,%,222,48,29.30%,15.60%,205
648,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,22.7,%,19788,4494,23.50%,22.00%,22349
649,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,22.3,%,17654,3942,23.10%,21.50%,20285
650,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,20.6,%,767,158,24.80%,17.00%,781
651,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,29.6,%,345,102,37.50%,22.90%,235
652,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,64
653,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,54
654,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,16.3,%,217,35,24.30%,10.60%,168
655,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,92
656,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,29.5,%,20339,6000,30.40%,28.60%,19092
657,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,28.6,%,15622,4473,29.60%,27.70%,16103
658,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,25.4,%,771,196,30.10%,21.20%,625
659,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,32.3,%,2173,702,36.10%,28.70%,1084
660,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,33,%,414,137,41.00%,25.90%,265
661,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,70
662,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,22.2,%,294,65,30.50%,15.60%,175
663,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically inactive,38.7,%,208,81,52.20%,26.70%,112
664,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,27.6,%,19135,5272,28.60%,26.60%,14852
665,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,27,%,16323,4413,28.10%,26.00%,13212
666,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,19.9,%,559,111,25.70%,15.20%,388
667,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,34,%,1047,356,39.60%,28.90%,466
668,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,33.3,%,205,68,47.30%,21.80%,112
669,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,47
670,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,?,%,?,?,?,?,104
671,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically inactive,27.7,%,183,51,39.20%,18.50%,105
672,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,15.6,%,27117,4243,16.50%,14.80%,12688
673,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,13.5,%,18371,2474,14.40%,12.60%,9255
674,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,15.3,%,1381,212,19.00%,12.30%,677
675,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,22,%,3438,756,25.00%,19.30%,1155
676,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,21.8,%,1075,234,27.20%,17.20%,404
677,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,22.5,%,385,87,32.80%,14.80%,147
678,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,13.3,%,1167,155,17.30%,10.10%,478
679,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically inactive,21.9,%,461,101,31.90%,14.40%,141
680,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,20.7,%,32346,6699,21.50%,20.00%,24414
681,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,17.6,%,21717,3818,18.40%,16.80%,17551
682,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,23.2,%,3525,817,25.60%,21.00%,2604
683,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,33.4,%,3257,1087,36.70%,30.20%,1792
684,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,25,%,794,199,30.70%,20.10%,456
685,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,27.1,%,490,133,35.20%,20.40%,290
686,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,16.1,%,850,137,20.40%,12.50%,538
687,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically inactive,25.9,%,499,129,33.50%,19.60%,278
688,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,21,%,30049,6298,21.60%,20.30%,30799
689,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,17.2,%,20556,3530,17.90%,16.50%,22286
690,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,22.7,%,2882,655,24.90%,20.70%,2958
691,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,34,%,3297,1120,36.60%,31.40%,2506
692,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,31.3,%,869,273,36.60%,26.50%,711
693,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,36.2,%,306,111,44.80%,28.40%,287
694,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,20.7,%,473,98,27.20%,15.40%,441
695,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Physically inactive,33.6,%,479,161,40.10%,27.70%,405
696,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,22,%,33018,7278,22.70%,21.40%,33400
697,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,20.6,%,26890,5538,21.30%,19.90%,27986
698,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,21.7,%,1477,321,24.80%,18.90%,1613
699,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,34.3,%,1741,597,38.10%,30.70%,1232
700,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,30.9,%,941,291,35.70%,26.40%,702
701,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,31.7,%,148,47,42.20%,22.70%,148
702,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,22.7,%,385,87,30.00%,16.70%,324
703,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Physically inactive,31.3,%,336,105,38.60%,24.80%,272
704,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Physically inactive,27.2,%,27010,7360,27.90%,26.60%,37130
